Game,Time,GrSubject,BR1,BR2,BR3,twdbr1,twdbr2,twdbr3
28,95,1,65.89957,15.310534,33.7899,1,1,0
28,95,2,-2.4123845,75.71424,41.698147,0,0,1
28,95,3,6.0208516,25.29257,83.68658,1,1,0
28,96,1,65.89957,15.310534,33.7899,1,1,1
28,96,2,-23.224043,87.87681,50.347237,0,0,1
28,96,3,-15.3394375,44.97153,85.367905,1,1,1
28,97,1,112.694534,18.751198,-16.445736,1,1,1
28,97,2,13.559108,92.4842,8.956692,1,1,1
28,97,3,25.170685,26.231651,63.597664,1,0,0
28,98,1,90.57715,25.350597,-0.9277478,1,1,1
28,98,2,25.552399,81.916695,7.530907,0,1,1
28,98,3,25.140343,18.53897,71.32069,1,1,1
28,99,1,91.068565,7.768231,16.1632,1,1,1
28,99,2,11.479208,85.26151,18.25928,0,0,1
28,99,3,19.287933,25.102148,70.60992,1,1,1
28,100,1,98.21695,11.370987,5.4120607,1,1,1
28,100,2,5.258663,85.93038,23.810959,1,1,1
28,100,3,15.185428,23.581312,76.23326,1,1,1
29,2,1,103.27002,18.364988,-6.6350107,1,0,0
29,2,2,1.0,85.226006,0.0,1,1,1
29,2,3,-2.4273462,21.572653,95.85469,1,1,1
29,3,1,81.79604,8.351976,24.851976,1,0,1
29,3,2,-17.73827,99.97654,32.76173,0,1,1
29,3,3,-6.96,29.54,92.42,0,0,0
29,4,1,77.395966,-7.822981,45.427017,1,1,0
29,4,2,-14.026011,76.427025,52.598988,0,0,1
29,4,3,-8.913988,17.961012,105.95297,1,1,0
29,5,1,90.01,-20.59875,45.58875,0,1,0
29,5,2,-24.504375,86.2275,53.276875,1,1,0
29,5,3,-2.863125,1.980625,115.8825,1,1,1
29,6,1,79.04941,-19.266891,55.217484,1,1,0
29,6,2,-24.044844,83.83188,55.212967,1,1,1
29,6,3,-4.9616046,3.1868331,116.77477,1,1,1
29,7,1,86.23171,-9.504528,38.272816,0,0,1
29,7,2,-23.318087,83.22797,55.09012,0,1,0
29,7,3,-7.85715,21.08621,101.77094,1,1,0
29,8,1,93.020584,-10.2996,32.279015,1,0,1
29,8,2,-29.258774,89.08737,55.171402,0,0,1
29,8,3,-20.255741,22.864376,112.391365,0,0,0
29,9,1,97.36997,-14.974292,32.60432,1,1,0
29,9,2,-27.008694,92.68719,49.321507,1,1,0
29,9,3,-15.03094,20.088568,109.942375,1,1,1
29,10,1,91.60485,-4.3287635,27.72391,1,0,1
29,10,2,-22.867043,89.809555,48.057487,0,1,1
29,10,3,-15.4884615,20.199434,110.289024,1,0,1
29,11,1,91.32621,-3.0676858,26.741472,1,0,1
29,11,2,-20.85422,93.2733,42.58092,0,1,1
29,11,3,-12.346864,22.871101,104.47576,1,1,1
29,12,1,88.67978,-5.367036,31.687258,0,1,0
29,12,2,-23.411188,89.3156,49.095592,1,1,0
